total_en_pageviews.page,total_en_pageviews.total_views
The_Undertaker,11654
The_Beatles,11653
Harry_Brant,11652
Demon_Slayer:_Kimetsu_no_Yaiba,11651
Jennifer_Garner,11650
Beyoncé,11649
The_Promised_Neverland,11636
Xi_Jinping,11632
Priyanka_Chopra,11627
Impeachment_of_Bill_Clinton,11622
Judy_Garland,11606
Star_Wars,11595
Aspire_(TV_network),11582
South_Africa,11582
Pete_Davidson,11581
Millennials,11576
Facebook,11574
List_of_prime_ministers_of_India,11563
Dan_Hooker,11545
Megyn_Kelly,11539
The_Little_Things_(2021_film),11536
Rosa_Parks,11533
Bulletproof_(TV_series),11529
Anne_Hathaway,11526
SmartBear,11518
Michael_Douglas,11510
Snowpiercer_(TV_series),11497
8chan,11493
Aubrey_Plaza,11490
Money_Heist,11477
A_Tale_of_Legendary_Libido,11469
Taiwan,11468
Julius_Caesar,11447
Will_Smith,11443
BDSM,11424
Michael_Brantley,11418
Talulah_Riley,11415
Ken_Kurson,11415
Brooklyn_Nine-Nine,11406
Marie_Curie,11384
Tribhanga_(film),11378
Sergeant_at_Arms_of_the_United_States_Senate,11372
Alexander_the_Great,11369
Special:MyTalk,11360
Eric_Rudolph,11353
The_Uncanny_Counter,11349
Premier_League,11344
Ryan_Reynolds,11342
Grigori_Rasputin,11335
Jessica_Biel,11331
Bill_Belichick,11306
Freddie_Mercury,11305
Xavier_Becerra,11303
Instagram,11285
The_Last_Kingdom_(TV_series),11279
Presidential_Townhouse,11275
Arsenal_F.C.,11275
Michael_Oher,11262
1968_United_States_presidential_election,11259
Rick_Barry,11258
Greek_alphabet,11258
Charlie_Chaplin,11258
Leah_Remini,11251
Casey_Urlacher,11247
London,11231
Netherlands,11229
Janis_Joplin,11226
English_language,11220
Robin_Williams,11219
Emily_Blunt,11197
Starlink,11182
Nelson_Mandela,11177
Al_Jazeera,11168
Jesus,11150
Indonesia,11144
Brendan_Rodgers,11141
Thomas_Tuchel,11137
COVID-19_pandemic_in_the_United_States,11134
Epik_(company),11132
Confederate_States_of_America,11122
Magna_Carta,11120
Fate:_The_Winx_Saga,11112
Chad_Henne,11110
The_Vanished_(2020_film),11108
Fire_in_the_Sky,11102
List_of_highest-grossing_films,11101
Incumbent,11100
My_Hero_Academia,11093
Super_Bowl,11092
Charlie_Sheen,11090
Miley_Cyrus,11089
2020–2021_Indian_farmers'_protest,11089
1998_Sokcho_submarine_incident,11081
Trent_Baalke,11079
Wayne_Rooney,11064
Turkey,11059
Atomic_bombings_of_Hiroshima_and_Nagasaki,11051
Gwyneth_Paltrow,11049
The_Pembrokeshire_Murders,11022
Operation_Mockingbird,11019
Ross_Ulbricht,11007
Mark_Wahlberg,11006
Ann_Dunham,11002
Michelle_Robinson,10991
Snowpiercer,10971
List_of_Tor_onion_services,10953
Rihanna,10946
Wolfgang_Amadeus_Mozart,10945
Saint_Sebastian,10937
Los_Angeles,10923
Executive_Order_13770,10922
United_States_presidential_election,10919
Drake_(musician),10914
Josef_Bican,10912
2020_Democratic_Party_presidential_primaries,10911
Robinette,10907
Robert_E._Lee,10883
Harvard_University,10878
Capricorn_(astrology),10864
Shaquille_O'Neal,10861
Maldives,10852
Barack_Obama_Sr.,10843
Twenty-second_Amendment_to_the_United_States_Constitution,10837
Puerto_Rico,10833
Inna_Lillahi_wa_inna_ilayhi_raji'un,10823
Amy_Carter,10819
PlayerUnknown's_Battlegrounds,10812
Wealth_of_Donald_Trump,10801
Alfred_the_Great,10798
List_of_most-subscribed_YouTube_channels,10795
Servant_(TV_series),10789
English_Wikipedia,10788
Paul_Pogba,10785
Cate_Blanchett,10776
Transgender,10774
Anthony_Fauci,10772
Wikipedia:Protection_policy,10751
Gigi_Hadid,10736
Leicester_City_F.C.,10736
Kathryn_Hahn,10705
".bf",10695
Continent,10680
Deaths_in_January_2021,10665
Genghis_Khan,10665
Harry_Potter,10662
Ted_Kennedy,10656
2021_Ugandan_general_election,10647
Dog,10642
List_of_nicknames_used_by_Donald_Trump,10641
Murder_of_Lana_Clarkson,10635
List_of_Oval_Office_desks,10612
America_Ferrera,10611
Anne_Frank,10603
Willie_Brown_(politician),10603
Katie_Holmes,10598
Sean_Murray_(actor),10593
"Don't_Toy_With_Me,_Miss_Nagatoro",10584
Roxanne_Modafferi,10581
XVideos,10567
Rupert_Murdoch,10558
American_Gods_(TV_series),10557
Eugene_Levy,10556
Elton_John,10554
Ben_Shapiro,10547
Married_at_First_Sight_(Australian_TV_series),10539
Roblox,10538
Robert_Saleh,10528
Sarah_Levy,10525
European_Union,10525
Friends,10521
Queen_Elizabeth_The_Queen_Mother,10515
The_Penthouse:_War_in_Life,10480
Chelsea_F.C.,10470
Ruby_Rose,10468
Virgin_River_(TV_series),10444
Lucifer_(TV_series),10443
List_of_amendments_to_the_United_States_Constitution,10440
Wonder_Egg_Priority,10439
"ʻOumuamua",10434
All_American_(TV_series),10433
John_Lennon,10422
Joaquin_Phoenix,10419
David_Attenborough,10415
Stephen_Miller_(political_advisor),10408
Deshaun_Watson,10406
United_States_Secretary_of_Defense,10400
Pornography,10392
Regina_King,10392
Ravi_Shastri,10391
America_the_Beautiful,10389
Natali_Germanotta,10387
New_World_Order_(conspiracy_theory),10381
"Prince_William,_Duke_of_Cambridge",10379
2020_Toyota_Thailand_Open,10373
Giancarlo_Esposito,10373
Vijay_(actor),10366
The_Lincoln_Project,10363
Twitter,10361
Generation_Z,10356
American_Horror_Story,10354
Millie_Bobby_Brown,10317
Abdul_Karim_(the_Munshi),10311
Find_My_iPhone,10310
YNW_Melly,10309
Ronan_Keating,10282
Burj_Khalifa,10278
Lolita,10273
Kevin_Durant,10270
Joe_Biden_1988_presidential_campaign,10257
Willian_José,10255
Gina_Haspel,10249
England,10249
Morven_Christie,10237
Attack_on_Pearl_Harbor,10229
Aaliyah,10220
Mount_Rushmore,10218
Adjoa_Andoh,10216
United_Nations,10207
Ozark_(TV_series),10204
Jodie_Foster,10193
Run_Hide_Fight,10190
A._P._J._Abdul_Kalam,10189
No_Time_to_Die,10188
Executive_Order_13769,10179
Political_positions_of_Joe_Biden,10177
9-1-1_(TV_series),10175
Nicolas_Cage,10174
The_Walking_Dead_(TV_series),10173
This_Is_Us,10162
Helen_Keller,10156
Natalie_Portman,10154
Matt_Schnell,10150
First_inauguration_of_Ulysses_S._Grant,10145
The_Epoch_Times,10143
Dune_(2021_film),10139
Blackpink,10131
Doctor_of_Education,10121
Kyra_Sedgwick,10101
Boeing_VC-25,10099
Aviem_Sella,10096
Selena,10086
"Scranton,_Pennsylvania",10081
Bangladesh,10056
The_Blacklist_(TV_series),10054
Murder_of_Dee_Dee_Blanchard,10050
Queen's_Gambit,10046
MrBeast,10038
Pansexuality,10037
"ツ",10034
Catherine_O'Hara,10029
Stephen_Curry,10018
Earth,10016
Ben_Feldman,10011
Alexander_Skarsgård,10011
Hamilton_(musical),10003
